City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
98,Oktyabrskoye,43.0645,44.7417,23.14,100,6,2.24,RU,2022-01-31 04:52:54,fog
99,Juba,4.8517,31.5825,74.79,28,81,3.38,SS,2022-01-31 04:52:54,broken clouds
100,Ushuaia,-54.8,-68.3,44.26,70,40,8.05,AR,2022-01-31 04:44:36,scattered clouds
101,Bairiki,1.3292,172.9752,84.2,79,40,10.36,KI,2022-01-31 04:52:55,light rain
102,Hermanus,-34.4187,19.2345,72.81,79,100,12.5,ZA,2022-01-31 04:52:55,overcast clouds
103,Dingle,10.9995,122.6711,84.74,68,39,10.22,PH,2022-01-31 04:52:56,scattered clouds
104,Kyabram,-36.3167,145.05,95.88,21,0,5.77,AU,2022-01-31 04:52:56,clear sky
105,Jamestown,42.097,-79.2353,11.71,92,0,3.44,US,2022-01-31 04:46:54,clear sky
106,West Plains,36.7281,-91.8524,34.32,63,0,0.0,US,2022-01-31 04:52:56,clear sky
107,Qaanaaq,77.484,-69.3632,-7.46,93,100,4.41,GL,2022-01-31 04:52:57,overcast clouds
108,Bahia Blanca,-38.7196,-62.2724,60.21,48,4,1.57,AR,2022-01-31 04:52:57,clear sky
109,Haines Junction,60.7522,-137.5108,-0.45,65,59,2.3,CA,2022-01-31 04:52:57,broken clouds
110,Barrow,71.2906,-156.7887,-5.78,77,20,11.5,US,2022-01-31 04:45:02,few clouds
111,Bambous Virieux,-20.3428,57.7575,85.21,89,75,12.66,MU,2022-01-31 04:52:58,light rain
112,Kamenka,51.3223,42.7678,32.76,97,100,18.57,RU,2022-01-31 04:52:58,light snow
113,Asau,46.4333,26.4,36.52,72,38,17.45,RO,2022-01-31 04:52:58,scattered clouds
114,Xingyi,24.1877,102.817,51.3,75,56,7.54,CN,2022-01-31 04:52:59,broken clouds
115,Basti,26.8,82.7167,64.56,58,0,5.17,IN,2022-01-31 04:52:59,clear sky
116,Wuxi,31.5689,120.2886,49.98,44,89,5.79,CN,2022-01-31 04:50:32,overcast clouds
117,Sawtell,-30.3833,153.1,86.32,75,40,10.36,AU,2022-01-31 04:52:59,scattered clouds
118,Richards Bay,-28.783,32.0377,74.19,82,96,7.58,ZA,2022-01-31 04:53:00,overcast clouds
119,Esperance,-33.8667,121.9,73.24,71,77,22.12,AU,2022-01-31 04:53:00,broken clouds
120,Mantua,45.1667,10.7833,38.82,82,43,4.68,IT,2022-01-31 04:53:00,scattered clouds
121,Songjianghe,42.1859,127.479,21.49,49,4,4.63,CN,2022-01-31 04:53:01,clear sky
122,Ponta Do Sol,32.6667,-17.1,65.12,38,0,10.16,PT,2022-01-31 04:46:55,clear sky
123,Port Augusta,-32.5,137.7667,93.34,32,92,1.48,AU,2022-01-31 04:53:01,overcast clouds
124,Fairbanks,64.8378,-147.7164,-17.39,71,0,0.0,US,2022-01-31 04:53:02,clear sky
125,Westport,41.1415,-73.3579,23.76,68,79,1.99,US,2022-01-31 04:53:02,broken clouds
126,Los Llanos De Aridane,28.6585,-17.9182,56.95,67,0,8.05,ES,2022-01-31 04:53:02,clear sky
127,Arraial Do Cabo,-22.9661,-42.0278,74.59,96,100,7.76,BR,2022-01-31 04:53:03,moderate rain
